Date,beta0,beta1,beta2,Taux directeur,europe_beta0,europe_beta1,europe_beta2,Taux directeur_diff,beta0_diff,beta1_diff,beta2_diff,europe_beta0_diff,europe_beta1_diff,europe_beta2_diff
2021-10-01,3.6225553602044,-2.1482066339754904,-1.126507971717961,1.5,0.5204507287286737,-1.157214352690764,-2.0095009197649976,0.0,0.025745193028526625,-0.013190192587670957,-0.0401421985722723,0.19204587657467992,-0.22526088574848124,0.07514723901649889
2021-11-01,3.638204777702648,-2.1529408343191574,-1.1709706730008942,1.5,0.5182886938331294,-1.1968336137368014,-1.7312764490472086,0.0,0.01564941749824822,-0.0047342003436670055,-0.04446270128293328,-0.0021620348955443403,-0.039619261046037524,0.278224470717789
2021-12-01,3.70191901498741,-2.218636645498845,-1.3731160895360923,1.5,0.2740060224363478,-1.0955443100114073,-1.3492709012446071,0.0,0.06371423728476211,-0.0656958111796877,-0.20214541653519813,-0.24428267139678156,0.10128930372539413,0.38200554780260143
2022-01-01,3.685676199602984,-2.1573965575156087,-1.4514700507680487,1.5,0.2004459470219939,-0.9774113527030668,-1.098433899256011,0.0,-0.01624281538442629,0.061240087983236435,-0.07835396123195637,-0.07356007541435391,0.1181329573083405,0.25083700198859615
2022-02-01,3.663937850923392,-2.0969988321079867,-1.4185598796169716,1.5,0.4071161998714469,-1.0824126693193858,-1.3377464992321688,0.0,-0.0217383486795919,0.060397725407622005,0.03291017115107708,0.20667025284945303,-0.10500131661631906,-0.23931259997615784
2022-03-01,3.603600813226053,-2.048631375911651,-1.057619614080468,1.5,0.5246650757558092,-1.2184141096243593,-1.368897228262442,0.0,-0.06033703769733911,0.048367456196335645,0.3609402655365037,0.1175488758843623,-0.1360014403049734,-0.031150729030273272
2022-04-01,3.577229593769004,-2.027009108552784,-0.9230841131825974,1.5,0.6752487118527996,-1.4101997405992437,-1.433793973340009,0.0,-0.026371219457048678,0.021622267358866853,0.13453550089787047,0.15058363609699033,-0.19178563097488444,-0.06489674507756682
2022-05-01,3.5887308643597216,-2.0095577642094136,-0.889917017050482,1.5,1.0492400733010905,-1.6960723362264014,-2.043825295839652,0.0,0.011501270590717372,0.01745134434337059,0.03316709613211544,0.3739913614482909,-0.2858725956271577,-0.610031322499643
2022-06-01,3.5926731123139994,-1.96627118739732,-0.8115583581227811,1.5,1.3193943572420623,-1.8295900637157,-1.905020906928116,0.0,0.003942247954277889,0.04328657681209358,0.07835865892770089,0.27015428394097185,-0.1335177274892987,0.1388043889115358
2022-07-01,3.556515535413133,-1.870190111972988,-0.6964588779132331,1.5,1.8359378889495503,-2.548210839752005,-0.116205816930663,0.0,-0.036157576900866406,0.09608107542433197,0.11509948020954797,0.516543531707488,-0.7186207760363048,1.788815089997453
2022-08-01,3.6021641612429063,-1.8763076082198744,-0.7140769219889544,1.5,1.7527912440157951,-1.9508961127868016,-0.0172577355541375,0.0,0.04564862582977325,-0.0061174962468864,-0.017618044075721317,-0.08314664493375523,0.5973147269652033,0.0989480813765255
2022-09-01,3.758255041626806,-1.8494065437247136,-1.4576846456063253,1.5,1.588732817080624,-1.5506678811318837,0.0107348375302284,0.0,0.15609088038389984,0.02690106449516083,-0.7436077236173708,-0.16405842693517103,0.40022823165491794,0.0279925730843659
